aspect_a,aspect_b,cooccurrence_count,jaccard
FAMILY_CHILDREN,SAFETY_SECURITY,4,0.052
POOL,SPA_WELLNESS,4,0.059
RESERVATION,CHECKIN_CHECKOUT,4,0.089
AIR_CONDITIONING,FAMILY_CHILDREN,4,0.053
POOL,AIR_CONDITIONING,4,0.06
FAMILY_CHILDREN,SPA_WELLNESS,4,0.052
CHECKIN_CHECKOUT,SPA_WELLNESS,4,0.108
CHECKIN_CHECKOUT,TRANSPORT_TRANSFER,3,0.077
PRICE_VALUE,SPA_WELLNESS,3,0.075
FAMILY_CHILDREN,TRANSPORT_TRANSFER,3,0.038
POOL,TRANSPORT_TRANSFER,3,0.043
CHECKIN_CHECKOUT,SAFETY_SECURITY,2,0.051
AIR_CONDITIONING,MANAGEMENT_COMMUNICATION,2,0.059
MANAGEMENT_COMMUNICATION,SPA_WELLNESS,2,0.057
CHECKIN_CHECKOUT,AIR_CONDITIONING,2,0.053
NOISE,TRANSPORT_TRANSFER,2,0.056
NOISE,MANAGEMENT_COMMUNICATION,2,0.036
PRICE_VALUE,TRANSPORT_TRANSFER,2,0.048
PAYMENT_REFUND,CHECKIN_CHECKOUT,2,0.061
FOOD_BEVERAGE,PAYMENT_REFUND,2,0.013
RESERVATION,NOISE,2,0.047
BEACH_SEA,PAYMENT_REFUND,2,0.017
FACILITIES_MAINTENANCE,PAYMENT_REFUND,2,0.045
ROOM,PAYMENT_REFUND,2,0.014
STAFF_SERVICE,PAYMENT_REFUND,2,0.013
FACILITIES_MAINTENANCE,SPA_WELLNESS,2,0.04
PRICE_VALUE,AIR_CONDITIONING,2,0.05
FACILITIES_MAINTENANCE,SAFETY_SECURITY,2,0.04
MANAGEMENT_COMMUNICATION,SAFETY_SECURITY,2,0.057
RESERVATION,MANAGEMENT_COMMUNICATION,2,0.047
PAYMENT_REFUND,NOISE,1,0.033
POOL,PAYMENT_REFUND,1,0.015
TRANSPORT_TRANSFER,SPA_WELLNESS,1,0.062
TRANSPORT_TRANSFER,MANAGEMENT_COMMUNICATION,1,0.027
PAYMENT_REFUND,SPA_WELLNESS,1,0.111
PAYMENT_REFUND,MANAGEMENT_COMMUNICATION,1,0.033
CLEANLINESS_HYGIENE,PAYMENT_REFUND,1,0.008
RESERVATION,AIR_CONDITIONING,1,0.045
RESERVATION,PAYMENT_REFUND,1,0.059
FACILITIES_MAINTENANCE,TRANSPORT_TRANSFER,1,0.019
PAYMENT_REFUND,PRICE_VALUE,1,0.028
RESERVATION,SAFETY_SECURITY,1,0.043
AIR_CONDITIONING,SAFETY_SECURITY,1,0.071
AIR_CONDITIONING,SPA_WELLNESS,1,0.071
NOISE,SAFETY_SECURITY,1,0.028
