aspect_a,aspect_b,cooccurrence_count,cooccurrence_rate_pct,jaccard_similarity
CLEANLINESS_HYGIENE,MANAGEMENT_COMMUNICATION,64,27.11864406779661,0.3516483516483517
RESERVATION,PRICE_VALUE,60,25.423728813559322,0.40816326530612246
CLEANLINESS_HYGIENE,FACILITIES_MAINTENANCE,58,24.576271186440678,0.4142857142857143
STAFF_SERVICE,BEACH_SEA,58,24.576271186440678,0.3391812865497076
ROOM,RESERVATION,56,23.728813559322035,0.3111111111111111
CLEANLINESS_HYGIENE,PRICE_VALUE,55,23.305084745762713,0.3353658536585366
FOOD_BEVERAGE,BEACH_SEA,53,22.45762711864407,0.381294964028777
CLEANLINESS_HYGIENE,PAYMENT_REFUND,53,22.45762711864407,0.30113636363636365
FACILITIES_MAINTENANCE,MANAGEMENT_COMMUNICATION,53,22.45762711864407,0.29608938547486036
STAFF_SERVICE,RESERVATION,53,22.45762711864407,0.265
ROOM,BEACH_SEA,52,22.033898305084747,0.325
CLEANLINESS_HYGIENE,BEACH_SEA,47,19.915254237288135,0.3643410852713178
FACILITIES_MAINTENANCE,PRICE_VALUE,45,19.06779661016949,0.28125
STAFF_SERVICE,SAFETY_SECURITY,42,17.796610169491526,0.2485207100591716
FOOD_BEVERAGE,RESERVATION,42,17.796610169491526,0.2413793103448276
BEACH_SEA,PRICE_VALUE,40,16.949152542372882,0.27972027972027974
STAFF_SERVICE,FAMILY_CHILDREN,40,16.949152542372882,0.23255813953488372
BEACH_SEA,MANAGEMENT_COMMUNICATION,39,16.52542372881356,0.22807017543859648
FACILITIES_MAINTENANCE,PAYMENT_REFUND,39,16.52542372881356,0.2215909090909091
BEACH_SEA,FACILITIES_MAINTENANCE,38,16.10169491525424,0.3064516129032258
ROOM,FAMILY_CHILDREN,37,15.677966101694915,0.23417721518987342
FOOD_BEVERAGE,FAMILY_CHILDREN,36,15.254237288135593,0.2589928057553957
ROOM,SAFETY_SECURITY,35,14.830508474576272,0.22012578616352202
STAFF_SERVICE,POOL,35,14.830508474576272,0.2147239263803681
MANAGEMENT_COMMUNICATION,SAFETY_SECURITY,34,14.40677966101695,0.21518987341772153
FAMILY_CHILDREN,MANAGEMENT_COMMUNICATION,34,14.40677966101695,0.2138364779874214
CLEANLINESS_HYGIENE,RESERVATION,33,13.983050847457626,0.19760479041916168
BEACH_SEA,PAYMENT_REFUND,32,13.559322033898304,0.19875776397515527
CLEANLINESS_HYGIENE,FAMILY_CHILDREN,31,13.135593220338983,0.2421875
FOOD_BEVERAGE,SAFETY_SECURITY,31,13.135593220338983,0.21678321678321677
PAYMENT_REFUND,FAMILY_CHILDREN,31,13.135593220338983,0.21379310344827587
ROOM,POOL,31,13.135593220338983,0.20666666666666667
FOOD_BEVERAGE,POOL,29,12.288135593220339,0.2196969696969697
CLEANLINESS_HYGIENE,SAFETY_SECURITY,28,11.864406779661017,0.2153846153846154
PRICE_VALUE,SAFETY_SECURITY,28,11.864406779661017,0.20437956204379562
PAYMENT_REFUND,SAFETY_SECURITY,28,11.864406779661017,0.19047619047619047
CLEANLINESS_HYGIENE,POOL,26,11.016949152542374,0.2184873949579832
BEACH_SEA,RESERVATION,26,11.016949152542374,0.18840579710144928
FACILITIES_MAINTENANCE,RESERVATION,26,11.016949152542374,0.1625
FACILITIES_MAINTENANCE,SAFETY_SECURITY,25,10.59322033898305,0.21008403361344538
FACILITIES_MAINTENANCE,FAMILY_CHILDREN,25,10.59322033898305,0.20833333333333334
PRICE_VALUE,FAMILY_CHILDREN,25,10.59322033898305,0.1773049645390071
BEACH_SEA,FAMILY_CHILDREN,23,9.745762711864407,0.23
POOL,MANAGEMENT_COMMUNICATION,23,9.745762711864407,0.14743589743589744
POOL,FACILITIES_MAINTENANCE,21,8.898305084745763,0.19090909090909092
BEACH_SEA,POOL,20,8.474576271186441,0.2247191011235955
POOL,PAYMENT_REFUND,19,8.05084745762712,0.13286713286713286
POOL,FAMILY_CHILDREN,18,7.627118644067797,0.24324324324324326
FAMILY_CHILDREN,SAFETY_SECURITY,18,7.627118644067797,0.20689655172413793
BEACH_SEA,SAFETY_SECURITY,18,7.627118644067797,0.17307692307692307
POOL,PRICE_VALUE,18,7.627118644067797,0.13432835820895522
ROOM,AIR_CONDITIONING,18,7.627118644067797,0.1258741258741259
RESERVATION,SAFETY_SECURITY,17,7.203389830508475,0.13178294573643412
RESERVATION,FAMILY_CHILDREN,16,6.779661016949152,0.12213740458015267
STAFF_SERVICE,AIR_CONDITIONING,15,6.3559322033898304,0.09202453987730061
FOOD_BEVERAGE,AIR_CONDITIONING,14,5.932203389830509,0.11023622047244094
CLEANLINESS_HYGIENE,AIR_CONDITIONING,13,5.508474576271187,0.11607142857142858
STAFF_SERVICE,SPA_WELLNESS,12,5.084745762711864,0.07453416149068323
BEACH_SEA,AIR_CONDITIONING,11,4.661016949152542,0.14102564102564102
FACILITIES_MAINTENANCE,AIR_CONDITIONING,11,4.661016949152542,0.11
PAYMENT_REFUND,SPA_WELLNESS,11,4.661016949152542,0.0873015873015873
ROOM,NOISE,11,4.661016949152542,0.0763888888888889
ROOM,SPA_WELLNESS,11,4.661016949152542,0.07586206896551724
STAFF_SERVICE,TRANSPORT_TRANSFER,11,4.661016949152542,0.06832298136645963
MANAGEMENT_COMMUNICATION,SPA_WELLNESS,10,4.237288135593221,0.06944444444444445
CLEANLINESS_HYGIENE,SPA_WELLNESS,9,3.8135593220338984,0.08108108108108109
PRICE_VALUE,TRANSPORT_TRANSFER,9,3.8135593220338984,0.07692307692307693
PRICE_VALUE,SPA_WELLNESS,9,3.8135593220338984,0.07627118644067797
PRICE_VALUE,AIR_CONDITIONING,9,3.8135593220338984,0.07317073170731707
POOL,RESERVATION,9,3.8135593220338984,0.07258064516129033
PAYMENT_REFUND,TRANSPORT_TRANSFER,9,3.8135593220338984,0.07086614173228346
PAYMENT_REFUND,AIR_CONDITIONING,9,3.8135593220338984,0.06766917293233082
TRANSPORT_TRANSFER,MANAGEMENT_COMMUNICATION,9,3.8135593220338984,0.0625
ROOM,TRANSPORT_TRANSFER,9,3.8135593220338984,0.06164383561643835
AIR_CONDITIONING,MANAGEMENT_COMMUNICATION,9,3.8135593220338984,0.06
POOL,SAFETY_SECURITY,8,3.389830508474576,0.0963855421686747
FOOD_BEVERAGE,SPA_WELLNESS,8,3.389830508474576,0.0625
STAFF_SERVICE,NOISE,8,3.389830508474576,0.04878048780487805
BEACH_SEA,SPA_WELLNESS,7,2.9661016949152543,0.09090909090909091
FOOD_BEVERAGE,NOISE,7,2.9661016949152543,0.0546875
FOOD_BEVERAGE,TRANSPORT_TRANSFER,7,2.9661016949152543,0.0546875
PAYMENT_REFUND,NOISE,7,2.9661016949152543,0.05426356589147287
POOL,AIR_CONDITIONING,6,2.542372881355932,0.11538461538461539
FACILITIES_MAINTENANCE,NOISE,6,2.542372881355932,0.06060606060606061
FACILITIES_MAINTENANCE,TRANSPORT_TRANSFER,6,2.542372881355932,0.06060606060606061
CLEANLINESS_HYGIENE,NOISE,6,2.542372881355932,0.05309734513274336
POOL,NOISE,5,2.1186440677966103,0.10638297872340426
FAMILY_CHILDREN,SPA_WELLNESS,5,2.1186440677966103,0.08064516129032258
AIR_CONDITIONING,SAFETY_SECURITY,5,2.1186440677966103,0.07575757575757576
BEACH_SEA,TRANSPORT_TRANSFER,5,2.1186440677966103,0.0641025641025641
RESERVATION,TRANSPORT_TRANSFER,5,2.1186440677966103,0.049019607843137254
RESERVATION,SPA_WELLNESS,5,2.1186440677966103,0.04854368932038835
PRICE_VALUE,NOISE,5,2.1186440677966103,0.04132231404958678
NOISE,MANAGEMENT_COMMUNICATION,5,2.1186440677966103,0.033783783783783786
AIR_CONDITIONING,NOISE,4,1.694915254237288,0.14285714285714285
POOL,TRANSPORT_TRANSFER,4,1.694915254237288,0.08333333333333333
POOL,SPA_WELLNESS,4,1.694915254237288,0.08163265306122448
AIR_CONDITIONING,FAMILY_CHILDREN,4,1.694915254237288,0.058823529411764705
FACILITIES_MAINTENANCE,SPA_WELLNESS,4,1.694915254237288,0.0392156862745098
RESERVATION,AIR_CONDITIONING,4,1.694915254237288,0.03669724770642202
ROOM,CHECKIN_CHECKOUT,4,1.694915254237288,0.028169014084507043
AIR_CONDITIONING,SPA_WELLNESS,3,1.271186440677966,0.1
NOISE,SAFETY_SECURITY,3,1.271186440677966,0.04838709677419355
TRANSPORT_TRANSFER,SAFETY_SECURITY,3,1.271186440677966,0.04838709677419355
NOISE,FAMILY_CHILDREN,3,1.271186440677966,0.047619047619047616
BEACH_SEA,NOISE,3,1.271186440677966,0.0375
RESERVATION,NOISE,3,1.271186440677966,0.028846153846153848
CLEANLINESS_HYGIENE,CHECKIN_CHECKOUT,3,1.271186440677966,0.028037383177570093
CLEANLINESS_HYGIENE,TRANSPORT_TRANSFER,3,1.271186440677966,0.02586206896551724
CHECKIN_CHECKOUT,MANAGEMENT_COMMUNICATION,3,1.271186440677966,0.02127659574468085
STAFF_SERVICE,CHECKIN_CHECKOUT,3,1.271186440677966,0.01875
