hotel_id,hotel_name,area,candidate_rank,candidate_company_name,candidate_url,name_similarity,candidate_score,match_reason,negative_conflict,suggested_action
BOD032,Paloma Family Club Bitez,Bitez,2,Aqua Club Dolphin,https://www.sikayetvar.com/aqua-club-dolphin,0.439,0.3073,score=0.6 name_sim=0.8571 bodrum=False area=False method=search_fallback,True,Confirm this isn't a sibling/other property before accepting
BOD036,Bodrium Hotel & SPA,Bodrum Merkez,1,Oscar Seaside Hotel & Spa Bodrum,https://www.sikayetvar.com/oscar-seaside-hotel-spa-bodrum,0.6,0.57,score=0.57 name_sim=0.6 bodrum=True area=False method=search_fallback,True,Confirm this isn't a sibling/other property before accepting
BOD036,Bodrium Hotel & SPA,Bodrum Merkez,3,Celeste Bella Luxury Hotel & Spa,https://www.sikayetvar.com/celeste-bella-luxury-hotel-spa,0.5106,0.3574,score=0.57 name_sim=0.6 bodrum=True area=False method=search_fallback,True,Confirm this isn't a sibling/other property before accepting
BOD036,Bodrium Hotel & SPA,Bodrum Merkez,2,Green Bay Resort & Spa,https://www.sikayetvar.com/green-bay-resort-spa,0.4324,0.3027,score=0.57 name_sim=0.6 bodrum=True area=False method=search_fallback,True,Confirm this isn't a sibling/other property before accepting
BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,1,Diamond of Bodrum,https://www.sikayetvar.com/diamond-of-bodrum,0.7692,0.6885,score=0.6885 name_sim=0.7692 bodrum=True area=False method=slug_guess,False,Uncertain -- open the URL and compare manually
BOD042,Mandarin Resort Hotel,Bodrum Merkez,1,Mandarin Resort,https://www.sikayetvar.com/mandarin-resort,0.8333,0.5833,score=0.5833 name_sim=0.8333 bodrum=False area=False method=search_fallback,False,Likely correct -- spot-check then promote to accepted
BOD044,Noa Suite Hotel,Bodrum Merkez,1,Miracle Resort Hotel,https://www.sikayetvar.com/miracle-resort-hotel,0.4571,0.32,score=0.32 name_sim=0.4571 bodrum=False area=False method=search_fallback,True,Confirm this isn't a sibling/other property before accepting
BOD046,Senses Hotel,Bodrum Merkez,1,The Sense De Luxe Hotel,https://www.sikayetvar.com/the-sense-de-luxe-hotel,0.6286,0.44,score=0.44 name_sim=0.6286 bodrum=False area=False method=search_fallback,True,Confirm this isn't a sibling/other property before accepting
BOD046,Senses Hotel,Bodrum Merkez,3,Six Senses Kocataş Mansions,https://www.sikayetvar.com/six-senses-kocatas-mansions,0.4615,0.3231,score=0.44 name_sim=0.6286 bodrum=False area=False method=search_fallback,False,"Weak signal -- likely wrong, consider NOT_FOUND"
BOD046,Senses Hotel,Bodrum Merkez,2,X Life Hotel Sarıgerme,https://www.sikayetvar.com/x-life-hotel-sarigerme,0.4118,0.2882,score=0.44 name_sim=0.6286 bodrum=False area=False method=search_fallback,True,Confirm this isn't a sibling/other property before accepting
BOD048,Babana Hotel,Göltürkbükü,3,Acapulco Resort Hotel,https://www.sikayetvar.com/acapulco-resort-hotel,0.4848,0.3394,score=0.3394 name_sim=0.4848 bodrum=False area=False method=search_fallback,True,Confirm this isn't a sibling/other property before accepting
BOD048,Babana Hotel,Göltürkbükü,2,Ephesia Resort Hotel,https://www.sikayetvar.com/ephesia-resort-hotel,0.4375,0.3062,score=0.3394 name_sim=0.4848 bodrum=False area=False method=search_fallback,True,Confirm this isn't a sibling/other property before accepting
BOD048,Babana Hotel,Göltürkbükü,1,Sealife Resort Hotel Spa,https://www.sikayetvar.com/sealife-resort-hotel-spa,0.3889,0.2722,score=0.3394 name_sim=0.4848 bodrum=False area=False method=search_fallback,True,Confirm this isn't a sibling/other property before accepting
BOD059,Bodrum Hotel Baba,Gümbet,5,Baia Hotels Bodrum,https://www.sikayetvar.com/baia-hotels-bodrum,0.4762,0.4833,score=0.4833 name_sim=0.4762 bodrum=True area=False method=search_fallback,True,Confirm this isn't a sibling/other property before accepting
BOD059,Bodrum Hotel Baba,Gümbet,1,Vogue Hotel Supreme Bodrum,https://www.sikayetvar.com/vogue-hotel-supreme-bodrum,0.4138,0.4397,score=0.4833 name_sim=0.4762 bodrum=True area=False method=search_fallback,True,Confirm this isn't a sibling/other property before accepting
BOD059,Bodrum Hotel Baba,Gümbet,2,Golden Beach Otel Bodrum,https://www.sikayetvar.com/golden-beach-otel-bodrum,0.3704,0.4093,score=0.4833 name_sim=0.4762 bodrum=True area=False method=search_fallback,True,Confirm this isn't a sibling/other property before accepting
BOD063,Jasmin Beach Hotel,Gümbet,1,Jasmin Beach Hotels,https://www.sikayetvar.com/jasmin-beach-hotels,0.973,0.6811,score=0.6811 name_sim=0.973 bodrum=False area=False method=search_fallback,False,Likely correct -- spot-check then promote to accepted
BOD064,Jasmin Elite Residence & Spa,Gümbet,1,Jasmin Elite Residence,https://www.sikayetvar.com/jasmin-elite-residence,0.9167,0.6417,score=0.6417 name_sim=0.9167 bodrum=False area=False method=search_fallback,False,Likely correct -- spot-check then promote to accepted
BOD066,Royal Asarlik Beach Hotel & Spa,Gümbet,1,Royal Asarlık Beach,https://www.sikayetvar.com/royal-asarlik-beach,0.7917,0.5542,score=0.5542 name_sim=0.7917 bodrum=False area=False method=search_fallback,False,Uncertain -- open the URL and compare manually
BOD066,Royal Asarlik Beach Hotel & Spa,Gümbet,2,Royal Beach Club Hotel,https://www.sikayetvar.com/royal-beach-club-hotel,0.6667,0.4667,score=0.5542 name_sim=0.7917 bodrum=False area=False method=search_fallback,False,Uncertain -- open the URL and compare manually
BOD068,Selectum Colours Bodrum,Gümbet,1,Selectum Hotels Selectum Bodrum,https://www.sikayetvar.com/selectum-hotels/selectum-bodrum,0.55,0.535,score=0.535 name_sim=0.55 bodrum=True area=False method=manual_alias,True,Confirm this isn't a sibling/other property before accepting
BOD068,Selectum Colours Bodrum,Gümbet,2,Selectum Hotels Selectum Colours,https://www.sikayetvar.com/selectum-hotels/selectum-colours,0.6667,0.4667,score=0.535 name_sim=0.55 bodrum=True area=False method=manual_alias,False,Uncertain -- open the URL and compare manually
BOD075,Benjamin Otel,Gümüşlük,1,Benjamin,https://www.sikayetvar.com/benjamin,0.7619,0.5333,score=0.5333 name_sim=0.7619 bodrum=False area=False method=slug_guess,False,Uncertain -- open the URL and compare manually
BOD081,Oda Bodrum Gümüşlük,Gümüşlük,1,Golden Age Crystal Bodrum,https://www.sikayetvar.com/golden-age-crystal-bodrum,0.4,0.43,score=0.43 name_sim=0.4 bodrum=True area=False method=search_fallback,True,Confirm this isn't a sibling/other property before accepting
BOD082,Otel Gümüşlük,Gümüşlük,1,Gümüşlük,https://www.sikayetvar.com/gumusluk,0.7619,0.6833,score=0.6833 name_sim=0.7619 bodrum=False area=True method=slug_guess,False,Uncertain -- open the URL and compare manually
BOD083,Oza butik hotel,Gümüşlük,4,Aroma Butik Hotel,https://www.sikayetvar.com/aroma-butik-hotel,0.875,0.6125,score=0.6125 name_sim=0.875 bodrum=False area=False method=search_fallback,True,Confirm this isn't a sibling/other property before accepting
BOD083,Oza butik hotel,Gümüşlük,2,Bora Bora Butik Otel,https://www.sikayetvar.com/bora-bora-butik-otel,0.7429,0.52,score=0.6125 name_sim=0.875 bodrum=False area=False method=search_fallback,True,Confirm this isn't a sibling/other property before accepting
BOD083,Oza butik hotel,Gümüşlük,3,Port River Hotel,https://www.sikayetvar.com/port-river-hotel,0.5806,0.4065,score=0.6125 name_sim=0.875 bodrum=False area=False method=search_fallback,True,Confirm this isn't a sibling/other property before accepting
BOD088,Baia Bodrum Hotel,Gündoğan,1,Baia Bodrum Hotel,https://www.sikayetvar.com/baia-bodrum-hotel,1.0,0.85,score=0.85 name_sim=1.0 bodrum=True area=False method=slug_guess,False,Likely correct -- spot-check then promote to accepted
BOD088,Baia Bodrum Hotel,Gündoğan,2,Baia Hotels Bodrum,https://www.sikayetvar.com/baia-hotels-bodrum,0.9524,0.8167,score=0.85 name_sim=1.0 bodrum=True area=False method=slug_guess,False,Likely correct -- spot-check then promote to accepted
BOD091,Gündoğan Suites,Gündoğan,1,Gündoğan,https://www.sikayetvar.com/gundogan,0.6957,0.637,score=0.637 name_sim=0.6957 bodrum=False area=True method=slug_guess,False,Uncertain -- open the URL and compare manually
BOD092,Liona Hotel,Gündoğan,2,Lion Hotel,https://www.sikayetvar.com/lion-hotel,0.9524,0.6667,score=0.6667 name_sim=0.9524 bodrum=False area=False method=search_fallback,True,Confirm this isn't a sibling/other property before accepting
BOD092,Liona Hotel,Gündoğan,1,Viona Hotel,https://www.sikayetvar.com/viona-hotel,0.9091,0.6364,score=0.6667 name_sim=0.9524 bodrum=False area=False method=search_fallback,True,Confirm this isn't a sibling/other property before accepting
BOD092,Liona Hotel,Gündoğan,3,Lion Boutique Hotel,https://www.sikayetvar.com/lion-boutique-hotel,0.6667,0.4667,score=0.6667 name_sim=0.9524 bodrum=False area=False method=search_fallback,True,Confirm this isn't a sibling/other property before accepting
BOD093,Malta Bodrum Hotel,Gündoğan,1,Bodrum Park Resort,https://www.sikayetvar.com/bodrum-park-resort,0.1818,0.2773,score=0.2773 name_sim=0.1818 bodrum=True area=False method=search_fallback,True,Confirm this isn't a sibling/other property before accepting
BOD095,Mivara Luxury Bodrum,Gündoğan,1,Mivara Luxury Resort & Spa Bodrum,https://www.sikayetvar.com/mivara-luxury-resort-spa-bodrum,0.7027,0.6419,score=0.6419 name_sim=0.7027 bodrum=True area=False method=search_fallback,False,Uncertain -- open the URL and compare manually
BOD104,Greenport Bodrum,Güvercinlik,1,Greenport Otel,https://www.sikayetvar.com/greenport-otel,0.7826,0.5478,score=0.5478 name_sim=0.7826 bodrum=False area=False method=search_fallback,False,Uncertain -- open the URL and compare manually
BOD108,Lujo Hotel Bodrum,Güvercinlik,1,Lujo Hotel,https://www.sikayetvar.com/lujo-hotel,1.0,0.7,score=0.7 name_sim=1.0 bodrum=False area=False method=search_fallback,False,Likely correct -- spot-check then promote to accepted
BOD117,Altınkaya Hotel,Ortakent-Yahşi,1,Altınkaya,https://www.sikayetvar.com/altinkaya,0.75,0.525,score=0.525 name_sim=0.75 bodrum=False area=False method=slug_guess,False,Uncertain -- open the URL and compare manually
BOD123,Hotel Marma Beach,Ortakent-Yahşi,1,Hotel Long Beach Resort,https://www.sikayetvar.com/hotel-long-beach-resort,0.6,0.42,score=0.42 name_sim=0.6 bodrum=False area=False method=search_fallback,True,Confirm this isn't a sibling/other property before accepting
BOD123,Hotel Marma Beach,Ortakent-Yahşi,4,Atlas Beach Hotel,https://www.sikayetvar.com/atlas-beach-hotel,0.5294,0.3706,score=0.42 name_sim=0.6 bodrum=False area=False method=search_fallback,True,Confirm this isn't a sibling/other property before accepting
BOD123,Hotel Marma Beach,Ortakent-Yahşi,3,Tusan Beach Resort,https://www.sikayetvar.com/tusan-beach-resort,0.4571,0.32,score=0.42 name_sim=0.6 bodrum=False area=False method=search_fallback,True,Confirm this isn't a sibling/other property before accepting
BOD125,Kefi Beach Bodrum,Ortakent-Yahşi,1,The Plaza Bodrum,https://www.sikayetvar.com/the-plaza-bodrum,0.3158,0.3711,score=0.3711 name_sim=0.3158 bodrum=True area=False method=search_fallback,True,Confirm this isn't a sibling/other property before accepting
BOD132,Viras Hotel & Beach,Ortakent-Yahşi,1,Ephesia Holiday Beach Club,https://www.sikayetvar.com/ephesia-holiday-beach-club,0.5581,0.3907,score=0.3907 name_sim=0.5581 bodrum=False area=False method=search_fallback,True,Confirm this isn't a sibling/other property before accepting
BOD132,Viras Hotel & Beach,Ortakent-Yahşi,2,Palmeras Beach Hotel,https://www.sikayetvar.com/palmeras-beach-hotel,0.4865,0.3405,score=0.3907 name_sim=0.5581 bodrum=False area=False method=search_fallback,True,Confirm this isn't a sibling/other property before accepting
BOD134,Yakamoz Otel,Ortakent-Yahşi,1,Yakamoz Tantuni,https://www.sikayetvar.com/yakamoz-tantuni,0.6667,0.4667,score=0.4667 name_sim=0.6667 bodrum=False area=False method=related_slug,False,Uncertain -- open the URL and compare manually
BOD142,Hotel Torbahan,Torba,1,Torbahan Hotel,https://www.sikayetvar.com/torbahan-hotel,0.5714,0.55,score=0.55 name_sim=0.5714 bodrum=False area=True method=search_fallback,False,Uncertain -- open the URL and compare manually
BOD144,Mira Suites,Torba,1,Mira Beach | Bodrum,https://www.sikayetvar.com/mira-beach-bodrum,0.5714,0.55,score=0.55 name_sim=0.5714 bodrum=True area=False method=related_slug,True,Confirm this isn't a sibling/other property before accepting
BOD146,Olivia Hotel,Torba,1,Olivia,https://www.sikayetvar.com/olivia,0.6667,0.4667,score=0.4667 name_sim=0.6667 bodrum=False area=False method=slug_guess,False,Uncertain -- open the URL and compare manually
BOD149,Roota Bodrum,Torba,1,Bodrum Feribot İşletmeciliği,https://www.sikayetvar.com/bodrum-feribot-isletmeciligi,0.2308,0.3115,score=0.3115 name_sim=0.2308 bodrum=True area=False method=search_fallback,True,Confirm this isn't a sibling/other property before accepting
BOD151,Sarpedor Boutique Hotel & SPA,Torba,1,Sarpedor Boutique Hotel,https://www.sikayetvar.com/sarpedor-boutique-hotel,0.92,0.644,score=0.644 name_sim=0.92 bodrum=False area=False method=search_fallback,False,Likely correct -- spot-check then promote to accepted
BOD151,Sarpedor Boutique Hotel & SPA,Torba,2,Royal Beach Club Hotel,https://www.sikayetvar.com/royal-beach-club-hotel,0.4082,0.2857,score=0.644 name_sim=0.92 bodrum=False area=False method=search_fallback,True,Confirm this isn't a sibling/other property before accepting
BOD161,MyElla Hotel Resort & Spa,Turgutreis,1,My Ella Resort & Spa,https://www.sikayetvar.com/my-ella-resort-spa,0.8293,0.5805,score=0.5805 name_sim=0.8293 bodrum=False area=False method=search_fallback,True,Confirm this isn't a sibling/other property before accepting
BOD162,Rammos Managed by Dedeman,Turgutreis,1,Dedeman Hotels,https://www.sikayetvar.com/dedeman-hotels,0.359,0.2513,score=0.2513 name_sim=0.359 bodrum=False area=False method=search_fallback,True,Confirm this isn't a sibling/other property before accepting
BOD174,Arts Hotel Bodrum Yalıkavak,Yalıkavak,1,Art Suites Hotel | Yalıkavak,https://www.sikayetvar.com/art-suites-hotel-yalikavak,0.8696,0.7587,score=0.7587 name_sim=0.8696 bodrum=False area=True method=search_fallback,True,Confirm this isn't a sibling/other property before accepting
BOD174,Arts Hotel Bodrum Yalıkavak,Yalıkavak,2,Club Sun Paradise Hotel,https://www.sikayetvar.com/club-sun-paradise-hotel,0.4186,0.293,score=0.7587 name_sim=0.8696 bodrum=False area=True method=search_fallback,True,Confirm this isn't a sibling/other property before accepting
BOD177,Delta Hotels By Marriott Bodrum,Yalıkavak,1,Delta Hotels Marriott Bodrum,https://www.sikayetvar.com/delta-hotels-marriott-bodrum,0.9333,0.8033,score=0.8033 name_sim=0.9333 bodrum=True area=False method=search_fallback,False,Likely correct -- spot-check then promote to accepted
