finding_id,level,hotel_id,hotel_name,area,finding,evidence_metric,evidence_value,support_n,confidence,limitation
SVF020,HOTEL,BOD068,Selectum Colours Bodrum,Gümbet,Supported complaint corpus recurrently mentions ROOM; this is not a hotel-quality ranking.,aspect_mention_rate_pct,88.89,9,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
SVF021,HOTEL,BOD077,Ladonia Hotels Zemda,Gümüşlük,Supported complaint corpus recurrently mentions RESERVATION; this is not a hotel-quality ranking.,aspect_mention_rate_pct,100.0,7,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
SVF022,HOTEL,BOD103,Green Bay Resort & Spa Bodrum,Güvercinlik,Supported complaint corpus recurrently mentions FOOD_BEVERAGE; this is not a hotel-quality ranking.,aspect_mention_rate_pct,81.82,11,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
SVF023,HOTEL,BOD106,La Blanche Island Bodrum,Güvercinlik,Supported complaint corpus recurrently mentions STAFF_SERVICE; this is not a hotel-quality ranking.,aspect_mention_rate_pct,73.68,19,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
SVF024,HOTEL,BOD110,Titanic Luxury Collection Bodrum,Güvercinlik,Supported complaint corpus recurrently mentions STAFF_SERVICE; this is not a hotel-quality ranking.,aspect_mention_rate_pct,60.0,5,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
SVF025,HOTEL,BOD112,Azure By Yelken Hotel,Kadıkalesi,Supported complaint corpus recurrently mentions STAFF_SERVICE; this is not a hotel-quality ranking.,aspect_mention_rate_pct,76.92,26,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
SVF026,HOTEL,BOD113,Kadıkale Resort,Kadıkalesi,Supported complaint corpus recurrently mentions ROOM; this is not a hotel-quality ranking.,aspect_mention_rate_pct,85.71,7,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
SVF027,HOTEL,BOD115,Yasmin Bodrum Resort,Kadıkalesi,Supported complaint corpus recurrently mentions STAFF_SERVICE; this is not a hotel-quality ranking.,aspect_mention_rate_pct,65.22,23,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
SVF028,HOTEL,BOD130,Petunya Beach Resort,Ortakent-Yahşi,Supported complaint corpus recurrently mentions MANAGEMENT_COMMUNICATION; this is not a hotel-quality ranking.,aspect_mention_rate_pct,84.62,13,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
SVF029,HOTEL,BOD153,The Oba Hotel,Torba,Supported complaint corpus recurrently mentions PAYMENT_REFUND; this is not a hotel-quality ranking.,aspect_mention_rate_pct,80.0,10,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
SVF030,HOTEL,BOD160,La Blanche Resort Bodrum,Turgutreis,Supported complaint corpus recurrently mentions STAFF_SERVICE; this is not a hotel-quality ranking.,aspect_mention_rate_pct,83.33,12,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
SVF031,AREA,,,Akyarlar,Available complaints in Akyarlar recurrently mention STAFF_SERVICE.,aspect_mention_rate_pct,72.73,55,MEDIUM,Area mapping coverage and hotel mix differ.
SVF032,AREA,,,Bodrum Merkez,Available complaints in Bodrum Merkez recurrently mention STAFF_SERVICE.,aspect_mention_rate_pct,84.62,13,MEDIUM,Area mapping coverage and hotel mix differ.
SVF033,AREA,,,Gümbet,Available complaints in Gümbet recurrently mention MANAGEMENT_COMMUNICATION.,aspect_mention_rate_pct,72.0,25,MEDIUM,Area mapping coverage and hotel mix differ.
SVF034,AREA,,,Güvercinlik,Available complaints in Güvercinlik recurrently mention STAFF_SERVICE.,aspect_mention_rate_pct,69.23,39,MEDIUM,Area mapping coverage and hotel mix differ.
SVF035,AREA,,,Kadıkalesi,Available complaints in Kadıkalesi recurrently mention STAFF_SERVICE.,aspect_mention_rate_pct,71.43,56,MEDIUM,Area mapping coverage and hotel mix differ.
SVF036,AREA,,,Ortakent-Yahşi,Available complaints in Ortakent-Yahşi recurrently mention MANAGEMENT_COMMUNICATION.,aspect_mention_rate_pct,75.0,16,MEDIUM,Area mapping coverage and hotel mix differ.
SVF037,AREA,,,Torba,Available complaints in Torba recurrently mention PAYMENT_REFUND.,aspect_mention_rate_pct,80.0,10,MEDIUM,Area mapping coverage and hotel mix differ.
SVF038,AREA,,,Turgutreis,Available complaints in Turgutreis recurrently mention STAFF_SERVICE.,aspect_mention_rate_pct,84.62,13,MEDIUM,Area mapping coverage and hotel mix differ.
