hotel_id,master_hotel_name,area,candidate_entity_name,source_url,previous_status,final_status,confidence,name_evidence,location_evidence,complaint_text_evidence,collision_flag,decision_reason,reviewed_at
BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,Diamond of Bodrum,https://www.sikayetvar.com/diamond-of-bodrum,REVIEW_REQUIRED,MATCHED_EXACT,0.95,master=Diamond of Bodrum Hotel; candidate=Diamond of Bodrum; stored_score=0.6885; method=slug_guess; competing_candidates=0,master_area=Bodrum Merkez; candidate_area_evidence=False; candidate_bodrum_evidence=True,locally_stored_raw=10; complaint_matched=10; complaint_review=0,False,Property-specific direct slug and strong Diamond of Bodrum identity; Hotel suffix is non-distinguishing.,2026-08-26T21:35:49.054482+00:00
BOD088,Baia Bodrum Hotel,Gündoğan,Baia Bodrum Hotel,https://www.sikayetvar.com/baia-bodrum-hotel,AMBIGUOUS,MATCHED_EXACT,0.95,master=Baia Bodrum Hotel; candidate=Baia Bodrum Hotel; stored_score=0.85; method=slug_guess; competing_candidates=1,master_area=Gündoğan; candidate_area_evidence=False; candidate_bodrum_evidence=True,locally_stored_raw=0; complaint_matched=0; complaint_review=0,False,"Exact Baia Bodrum Hotel name and property-specific slug; the second candidate is an umbrella Baia account, not a competing physical hotel.",2026-08-26T21:35:49.054482+00:00
BOD002,Armonia Holiday Village & Spa,Akyarlar,Armonia Holiday Village,https://www.sikayetvar.com/armonia-holiday-village,REVIEW_REQUIRED,MATCHED_HIGH_CONFIDENCE,0.85,master=Armonia Holiday Village & Spa; candidate=Armonia Holiday Village; stored_score=0.644; method=search_fallback; competing_candidates=0,master_area=Akyarlar; candidate_area_evidence=False; candidate_bodrum_evidence=False,locally_stored_raw=8; complaint_matched=8; complaint_review=0,False,Armonia Holiday Village is the distinctive master identity; Spa is a non-distinguishing suffix and no plausible competing property is stored.,2026-08-26T21:35:49.054482+00:00
BOD019,Bitez Garden Life Hotel&Suites,Bitez,Bitez Garden Life Hotel,https://www.sikayetvar.com/bitez-garden-life-hotel,REVIEW_REQUIRED,MATCHED_HIGH_CONFIDENCE,0.85,master=Bitez Garden Life Hotel&Suites; candidate=Bitez Garden Life Hotel; stored_score=0.7575; method=search_fallback; competing_candidates=0,master_area=Bitez; candidate_area_evidence=True; candidate_bodrum_evidence=False,locally_stored_raw=14; complaint_matched=14; complaint_review=0,False,Distinctive Bitez Garden Life identity and Bitez location evidence agree; Suites is a suffix variation.,2026-08-26T21:35:49.054482+00:00
BOD032,Paloma Family Club Bitez,Bitez,Paloma Family Club,https://www.sikayetvar.com/paloma-family-club,REVIEW_REQUIRED,MATCHED_HIGH_CONFIDENCE,0.85,master=Paloma Family Club Bitez; candidate=Paloma Family Club; stored_score=0.6; method=search_fallback; competing_candidates=1,master_area=Bitez; candidate_area_evidence=False; candidate_bodrum_evidence=False,locally_stored_raw=1; complaint_matched=1; complaint_review=0,False,Distinctive Paloma Family Club identity; competing candidate has a different brand and is locally marked conflicting.,2026-08-26T21:35:49.054482+00:00
BOD042,Mandarin Resort Hotel,Bodrum Merkez,Mandarin Resort,https://www.sikayetvar.com/mandarin-resort,REVIEW_REQUIRED,MATCHED_HIGH_CONFIDENCE,0.85,master=Mandarin Resort Hotel; candidate=Mandarin Resort; stored_score=0.5833; method=search_fallback; competing_candidates=0,master_area=Bodrum Merkez; candidate_area_evidence=False; candidate_bodrum_evidence=False,locally_stored_raw=1; complaint_matched=1; complaint_review=0,False,Mandarin Resort is the full distinctive master identity after removing the generic Hotel suffix.,2026-08-26T21:35:49.054482+00:00
BOD063,Jasmin Beach Hotel,Gümbet,Jasmin Beach Hotels,https://www.sikayetvar.com/jasmin-beach-hotels,REVIEW_REQUIRED,MATCHED_HIGH_CONFIDENCE,0.85,master=Jasmin Beach Hotel; candidate=Jasmin Beach Hotels; stored_score=0.6811; method=search_fallback; competing_candidates=0,master_area=Gümbet; candidate_area_evidence=False; candidate_bodrum_evidence=False,locally_stored_raw=1; complaint_matched=1; complaint_review=0,False,Jasmin Beach Hotel/Hotels is a singular-plural variation with no plausible competing local candidate.,2026-08-26T21:35:49.054482+00:00
BOD064,Jasmin Elite Residence & Spa,Gümbet,Jasmin Elite Residence,https://www.sikayetvar.com/jasmin-elite-residence,REVIEW_REQUIRED,MATCHED_HIGH_CONFIDENCE,0.85,master=Jasmin Elite Residence & Spa; candidate=Jasmin Elite Residence; stored_score=0.6417; method=search_fallback; competing_candidates=0,master_area=Gümbet; candidate_area_evidence=False; candidate_bodrum_evidence=False,locally_stored_raw=0; complaint_matched=0; complaint_review=0,False,Jasmin Elite Residence identity is distinctive; Spa is a non-distinguishing suffix.,2026-08-26T21:35:49.054482+00:00
BOD066,Royal Asarlik Beach Hotel & Spa,Gümbet,Royal Asarlık Beach,https://www.sikayetvar.com/royal-asarlik-beach,REVIEW_REQUIRED,MATCHED_HIGH_CONFIDENCE,0.85,master=Royal Asarlik Beach Hotel & Spa; candidate=Royal Asarlık Beach; stored_score=0.5542; method=search_fallback; competing_candidates=1,master_area=Gümbet; candidate_area_evidence=False; candidate_bodrum_evidence=False,locally_stored_raw=18; complaint_matched=18; complaint_review=0,False,Royal Asarlik Beach identity is distinctive; Hotel & Spa is a non-distinguishing suffix.,2026-08-26T21:35:49.054482+00:00
BOD068,Selectum Colours Bodrum,Gümbet,Selectum Hotels Selectum Bodrum,https://www.sikayetvar.com/selectum-hotels/selectum-bodrum,REVIEW_REQUIRED,MATCHED_HIGH_CONFIDENCE,0.85,master=Selectum Colours Bodrum; candidate=Selectum Hotels Selectum Bodrum; stored_score=0.535; method=manual_alias; competing_candidates=1,master_area=Gümbet; candidate_area_evidence=False; candidate_bodrum_evidence=True,locally_stored_raw=14; complaint_matched=8; complaint_review=6,True,Manual Selectum page evidence plus eight explicit Colours complaints and one newly resolved Colors complaint support the property; complaint-level collision controls remain mandatory.,2026-08-26T21:35:49.054482+00:00
BOD095,Mivara Luxury Bodrum,Gündoğan,Mivara Luxury Resort & Spa Bodrum,https://www.sikayetvar.com/mivara-luxury-resort-spa-bodrum,REVIEW_REQUIRED,MATCHED_HIGH_CONFIDENCE,0.85,master=Mivara Luxury Bodrum; candidate=Mivara Luxury Resort & Spa Bodrum; stored_score=0.6419; method=search_fallback; competing_candidates=0,master_area=Gündoğan; candidate_area_evidence=False; candidate_bodrum_evidence=True,locally_stored_raw=0; complaint_matched=0; complaint_review=0,False,Mivara Luxury and Bodrum tokens agree; Resort & Spa is a suffix variation and no competing candidate is stored.,2026-08-26T21:35:49.054482+00:00
BOD104,Greenport Bodrum,Güvercinlik,Greenport Otel,https://www.sikayetvar.com/greenport-otel,REVIEW_REQUIRED,MATCHED_HIGH_CONFIDENCE,0.85,master=Greenport Bodrum; candidate=Greenport Otel; stored_score=0.5478; method=search_fallback; competing_candidates=0,master_area=Güvercinlik; candidate_area_evidence=False; candidate_bodrum_evidence=False,locally_stored_raw=4; complaint_matched=4; complaint_review=0,False,Single local candidate retains the distinctive Greenport token; Otel/Bodrum is a generic suffix variation.,2026-08-26T21:35:49.054482+00:00
BOD108,Lujo Hotel Bodrum,Güvercinlik,Lujo Hotel,https://www.sikayetvar.com/lujo-hotel,REVIEW_REQUIRED,MATCHED_HIGH_CONFIDENCE,0.85,master=Lujo Hotel Bodrum; candidate=Lujo Hotel; stored_score=0.7; method=search_fallback; competing_candidates=0,master_area=Güvercinlik; candidate_area_evidence=False; candidate_bodrum_evidence=False,locally_stored_raw=15; complaint_matched=15; complaint_review=0,False,Lujo Hotel is an exact distinctive base-name match with a single stored candidate.,2026-08-26T21:35:49.054482+00:00
BOD142,Hotel Torbahan,Torba,Torbahan Hotel,https://www.sikayetvar.com/torbahan-hotel,REVIEW_REQUIRED,MATCHED_HIGH_CONFIDENCE,0.85,master=Hotel Torbahan; candidate=Torbahan Hotel; stored_score=0.55; method=search_fallback; competing_candidates=0,master_area=Torba; candidate_area_evidence=True; candidate_bodrum_evidence=False,locally_stored_raw=1; complaint_matched=0; complaint_review=1,False,Torbahan Hotel is a word-order variation and the stored area evidence agrees with Torba.,2026-08-26T21:35:49.054482+00:00
BOD151,Sarpedor Boutique Hotel & SPA,Torba,Sarpedor Boutique Hotel,https://www.sikayetvar.com/sarpedor-boutique-hotel,REVIEW_REQUIRED,MATCHED_HIGH_CONFIDENCE,0.85,master=Sarpedor Boutique Hotel & SPA; candidate=Sarpedor Boutique Hotel; stored_score=0.644; method=search_fallback; competing_candidates=1,master_area=Torba; candidate_area_evidence=False; candidate_bodrum_evidence=False,locally_stored_raw=2; complaint_matched=2; complaint_review=0,False,Sarpedor Boutique Hotel is a strong distinctive-name match; the competing candidate is a different brand.,2026-08-26T21:35:49.054482+00:00
BOD161,MyElla Hotel Resort & Spa,Turgutreis,My Ella Resort & Spa,https://www.sikayetvar.com/my-ella-resort-spa,REVIEW_REQUIRED,MATCHED_HIGH_CONFIDENCE,0.85,master=MyElla Hotel Resort & Spa; candidate=My Ella Resort & Spa; stored_score=0.5805; method=search_fallback; competing_candidates=0,master_area=Turgutreis; candidate_area_evidence=False; candidate_bodrum_evidence=False,locally_stored_raw=28; complaint_matched=28; complaint_review=0,False,MyElla/My Ella is a spacing variation with matching Resort & Spa identity.,2026-08-26T21:35:49.054482+00:00
BOD177,Delta Hotels By Marriott Bodrum,Yalıkavak,Delta Hotels Marriott Bodrum,https://www.sikayetvar.com/delta-hotels-marriott-bodrum,REVIEW_REQUIRED,MATCHED_HIGH_CONFIDENCE,0.85,master=Delta Hotels By Marriott Bodrum; candidate=Delta Hotels Marriott Bodrum; stored_score=0.8033; method=search_fallback; competing_candidates=0,master_area=Yalıkavak; candidate_area_evidence=False; candidate_bodrum_evidence=True,locally_stored_raw=14; complaint_matched=14; complaint_review=0,False,Delta Hotels Marriott Bodrum preserves the distinctive brand and Bodrum location; omission of 'By' is non-distinguishing.,2026-08-26T21:35:49.054482+00:00
BOD014,Suum Bodrum Hotel & Beach,Akyarlar,Kuum Hotel & SPA Bodrum,https://www.sikayetvar.com/kuum-hotel-spa-bodrum,REVIEW_REQUIRED,REJECTED_WRONG_ENTITY,0.95,master=Suum Bodrum Hotel & Beach; candidate=Kuum Hotel & SPA Bodrum; stored_score=0.6633; method=search_fallback; competing_candidates=1,master_area=Akyarlar; candidate_area_evidence=False; candidate_bodrum_evidence=True,locally_stored_raw=0; complaint_matched=0; complaint_review=0,False,Suum and Kuum are different primary brand tokens; the candidate belongs to Kuum Hotel & SPA Bodrum.,2026-08-26T21:35:49.054482+00:00
BOD024,HAKAN OTEL,Bitez,Hakan Peugeot,https://www.sikayetvar.com/hakan-peugeot,REVIEW_REQUIRED,REJECTED_WRONG_ENTITY,0.95,master=HAKAN OTEL; candidate=Hakan Peugeot; stored_score=0.487; method=related_slug; competing_candidates=0,master_area=Bitez; candidate_area_evidence=False; candidate_bodrum_evidence=False,locally_stored_raw=0; complaint_matched=0; complaint_review=0,False,"Candidate is Hakan Peugeot, an automotive entity rather than Hakan Otel.",2026-08-26T21:35:49.054482+00:00
BOD028,Mira Beach Resort Bodrum,Bitez,Amilla Beach Resort | Bodrum,https://www.sikayetvar.com/amilla-beach-resort-bodrum,REVIEW_REQUIRED,REJECTED_WRONG_ENTITY,0.95,master=Mira Beach Resort Bodrum; candidate=Amilla Beach Resort | Bodrum; stored_score=0.7722; method=search_fallback; competing_candidates=0,master_area=Bitez; candidate_area_evidence=False; candidate_bodrum_evidence=True,locally_stored_raw=0; complaint_matched=0; complaint_review=0,False,"Candidate primary brand is Amilla, not Mira; shared Beach Resort Bodrum tokens are generic.",2026-08-26T21:35:49.054482+00:00
BOD036,Bodrium Hotel & SPA,Bodrum Merkez,Oscar Seaside Hotel & Spa Bodrum,https://www.sikayetvar.com/oscar-seaside-hotel-spa-bodrum,REVIEW_REQUIRED,REJECTED_WRONG_ENTITY,0.95,master=Bodrium Hotel & SPA; candidate=Oscar Seaside Hotel & Spa Bodrum; stored_score=0.57; method=search_fallback; competing_candidates=2,master_area=Bodrum Merkez; candidate_area_evidence=False; candidate_bodrum_evidence=True,locally_stored_raw=0; complaint_matched=0; complaint_review=0,False,"Candidate is Oscar Seaside Hotel, not Bodrium Hotel; primary brands conflict.",2026-08-26T21:35:49.054482+00:00
BOD044,Noa Suite Hotel,Bodrum Merkez,Miracle Resort Hotel,https://www.sikayetvar.com/miracle-resort-hotel,REVIEW_REQUIRED,REJECTED_WRONG_ENTITY,0.95,master=Noa Suite Hotel; candidate=Miracle Resort Hotel; stored_score=0.32; method=search_fallback; competing_candidates=0,master_area=Bodrum Merkez; candidate_area_evidence=False; candidate_bodrum_evidence=False,locally_stored_raw=0; complaint_matched=0; complaint_review=0,False,Candidate Miracle Resort Hotel has no Noa Suite identity evidence.,2026-08-26T21:35:49.054482+00:00
BOD046,Senses Hotel,Bodrum Merkez,The Sense De Luxe Hotel,https://www.sikayetvar.com/the-sense-de-luxe-hotel,REVIEW_REQUIRED,REJECTED_WRONG_ENTITY,0.95,master=Senses Hotel; candidate=The Sense De Luxe Hotel; stored_score=0.44; method=search_fallback; competing_candidates=2,master_area=Bodrum Merkez; candidate_area_evidence=False; candidate_bodrum_evidence=False,locally_stored_raw=0; complaint_matched=0; complaint_review=0,False,The Sense De Luxe Hotel is not locally evidenced as Senses Hotel; distinct full entity names and no location support.,2026-08-26T21:35:49.054482+00:00
BOD048,Babana Hotel,Göltürkbükü,Acapulco Resort Hotel,https://www.sikayetvar.com/acapulco-resort-hotel,REVIEW_REQUIRED,REJECTED_WRONG_ENTITY,0.95,master=Babana Hotel; candidate=Acapulco Resort Hotel; stored_score=0.3394; method=search_fallback; competing_candidates=3,master_area=Göltürkbükü; candidate_area_evidence=False; candidate_bodrum_evidence=False,locally_stored_raw=0; complaint_matched=0; complaint_review=0,False,Acapulco Resort Hotel is a different primary brand from Babana Hotel.,2026-08-26T21:35:49.054482+00:00
BOD059,Bodrum Hotel Baba,Gümbet,Baia Hotels Bodrum,https://www.sikayetvar.com/baia-hotels-bodrum,REVIEW_REQUIRED,REJECTED_WRONG_ENTITY,0.95,master=Bodrum Hotel Baba; candidate=Baia Hotels Bodrum; stored_score=0.4833; method=search_fallback; competing_candidates=4,master_area=Gümbet; candidate_area_evidence=False; candidate_bodrum_evidence=True,locally_stored_raw=0; complaint_matched=0; complaint_review=0,False,Baia Hotels Bodrum is a different primary brand from Bodrum Hotel Baba.,2026-08-26T21:35:49.054482+00:00
BOD081,Oda Bodrum Gümüşlük,Gümüşlük,Golden Age Crystal Bodrum,https://www.sikayetvar.com/golden-age-crystal-bodrum,REVIEW_REQUIRED,REJECTED_WRONG_ENTITY,0.95,master=Oda Bodrum Gümüşlük; candidate=Golden Age Crystal Bodrum; stored_score=0.43; method=search_fallback; competing_candidates=0,master_area=Gümüşlük; candidate_area_evidence=False; candidate_bodrum_evidence=True,locally_stored_raw=0; complaint_matched=0; complaint_review=0,False,Golden Age Crystal Bodrum is a different property from Oda Bodrum Gümüşlük.,2026-08-26T21:35:49.054482+00:00
BOD083,Oza butik hotel,Gümüşlük,Aroma Butik Hotel,https://www.sikayetvar.com/aroma-butik-hotel,REVIEW_REQUIRED,REJECTED_WRONG_ENTITY,0.95,master=Oza butik hotel; candidate=Aroma Butik Hotel; stored_score=0.6125; method=search_fallback; competing_candidates=4,master_area=Gümüşlük; candidate_area_evidence=False; candidate_bodrum_evidence=False,locally_stored_raw=0; complaint_matched=0; complaint_review=0,False,Aroma Butik Hotel is a different primary brand from Oza Butik Hotel.,2026-08-26T21:35:49.054482+00:00
BOD093,Malta Bodrum Hotel,Gündoğan,Bodrum Park Resort,https://www.sikayetvar.com/bodrum-park-resort,REVIEW_REQUIRED,REJECTED_WRONG_ENTITY,0.95,master=Malta Bodrum Hotel; candidate=Bodrum Park Resort; stored_score=0.2773; method=search_fallback; competing_candidates=0,master_area=Gündoğan; candidate_area_evidence=False; candidate_bodrum_evidence=True,locally_stored_raw=0; complaint_matched=0; complaint_review=0,False,Bodrum Park Resort has no Malta Bodrum Hotel identity evidence.,2026-08-26T21:35:49.054482+00:00
BOD123,Hotel Marma Beach,Ortakent-Yahşi,Hotel Long Beach Resort,https://www.sikayetvar.com/hotel-long-beach-resort,REVIEW_REQUIRED,REJECTED_WRONG_ENTITY,0.95,master=Hotel Marma Beach; candidate=Hotel Long Beach Resort; stored_score=0.42; method=search_fallback; competing_candidates=4,master_area=Ortakent-Yahşi; candidate_area_evidence=False; candidate_bodrum_evidence=False,locally_stored_raw=0; complaint_matched=0; complaint_review=0,False,Hotel Long Beach Resort is a different property from Hotel Marma Beach.,2026-08-26T21:35:49.054482+00:00
BOD125,Kefi Beach Bodrum,Ortakent-Yahşi,The Plaza Bodrum,https://www.sikayetvar.com/the-plaza-bodrum,REVIEW_REQUIRED,REJECTED_WRONG_ENTITY,0.95,master=Kefi Beach Bodrum; candidate=The Plaza Bodrum; stored_score=0.3711; method=search_fallback; competing_candidates=0,master_area=Ortakent-Yahşi; candidate_area_evidence=False; candidate_bodrum_evidence=True,locally_stored_raw=0; complaint_matched=0; complaint_review=0,False,The Plaza Bodrum is a different primary identity from Kefi Beach Bodrum.,2026-08-26T21:35:49.054482+00:00
BOD132,Viras Hotel & Beach,Ortakent-Yahşi,Ephesia Holiday Beach Club,https://www.sikayetvar.com/ephesia-holiday-beach-club,REVIEW_REQUIRED,REJECTED_WRONG_ENTITY,0.95,master=Viras Hotel & Beach; candidate=Ephesia Holiday Beach Club; stored_score=0.3907; method=search_fallback; competing_candidates=1,master_area=Ortakent-Yahşi; candidate_area_evidence=False; candidate_bodrum_evidence=False,locally_stored_raw=0; complaint_matched=0; complaint_review=0,False,Ephesia Holiday Beach Club is a different property from Viras Hotel & Beach.,2026-08-26T21:35:49.054482+00:00
BOD134,Yakamoz Otel,Ortakent-Yahşi,Yakamoz Tantuni,https://www.sikayetvar.com/yakamoz-tantuni,REVIEW_REQUIRED,REJECTED_WRONG_ENTITY,0.95,master=Yakamoz Otel; candidate=Yakamoz Tantuni; stored_score=0.4667; method=related_slug; competing_candidates=0,master_area=Ortakent-Yahşi; candidate_area_evidence=False; candidate_bodrum_evidence=False,locally_stored_raw=0; complaint_matched=0; complaint_review=0,False,Yakamoz Tantuni is a restaurant entity rather than Yakamoz Otel.,2026-08-26T21:35:49.054482+00:00
BOD144,Mira Suites,Torba,Mira Beach | Bodrum,https://www.sikayetvar.com/mira-beach-bodrum,REVIEW_REQUIRED,REJECTED_WRONG_ENTITY,0.95,master=Mira Suites; candidate=Mira Beach | Bodrum; stored_score=0.55; method=related_slug; competing_candidates=0,master_area=Torba; candidate_area_evidence=False; candidate_bodrum_evidence=True,locally_stored_raw=0; complaint_matched=0; complaint_review=0,False,Mira Beach Bodrum and Mira Suites share only the Mira token; no local location/address evidence proves the same property.,2026-08-26T21:35:49.054482+00:00
BOD149,Roota Bodrum,Torba,Bodrum Feribot İşletmeciliği,https://www.sikayetvar.com/bodrum-feribot-isletmeciligi,REVIEW_REQUIRED,REJECTED_WRONG_ENTITY,0.95,master=Roota Bodrum; candidate=Bodrum Feribot İşletmeciliği; stored_score=0.3115; method=search_fallback; competing_candidates=0,master_area=Torba; candidate_area_evidence=False; candidate_bodrum_evidence=True,locally_stored_raw=0; complaint_matched=0; complaint_review=0,False,"Bodrum Feribot İşletmeciliği is a ferry operator, not Roota Bodrum hotel.",2026-08-26T21:35:49.054482+00:00
