hotel_id,hotel_name,area,phone,address,official_facility_id,official_name,official_type,official_star_rating,room_count,bed_count,official_address_area,official_phone,name_similarity,area_match,phone_match,address_similarity,match_score,match_method,reason_for_review
BOD066,Royal Asarlik Beach Hotel & Spa,Gümbet,+902523450452,"Gümbet, Ethem Kaptan Sk. No: 4, 48400 Bodrum/Muğla, Türkiye",OFFBOD038,ROYAL ASARLIK BEACH,5 YILDIZLI OTEL,5.0,349.0,698.0,GÜMBET MAHALLESİ,0252 319 3434,0.7917,True,False,1.0,0.675,fuzzy,"Orta düzey isim benzerliği, güçlü destek sinyali yok"
BOD115,Yasmin Bodrum Resort,Kadıkalesi,+902524400330,"Peksimet, Gümüşlük Cd., 48400 Bodrum/Muğla, Türkiye",OFFBOD050,YASMİN BODRUM RESORT HOTEL,5 YILDIZLI OTEL,5.0,484.0,968.0,PESİMET MAHALLESİ,0252 382 3302,0.8696,True,False,0.0,0.6718,fuzzy,Yüksek isim benzerliği ve bölge doğrulanıyor ama telefon teyidi yok
BOD007,Kefaluka Resort,Akyarlar,+902523110390,"Turgutreis - Bodrum/Bodrum Muğla TR, Akyarlar, Barış Manço Cd. No:63, 48960, Türkiye",OFFBOD028,KEFALUKA RESORT OTEL,5 YILDIZLI OTEL,5.0,384.0,796.0,AKYARRLAR MAH.,0252 393 8700,0.8571,True,False,0.0,0.6643,fuzzy,Yüksek isim benzerliği ve bölge doğrulanıyor ama telefon teyidi yok
BOD174,Arts Hotel Bodrum Yalıkavak,Yalıkavak,+902523853838,"Yalıkavak Mah. Tilkicik Cad, Yalıkavak, Demirci Sok No:7, 48990 Bodrum/Muğla, Türkiye",OFFBOD147,ARTS HOTEL BODRUM,BUTİK OTEL,5.0,38.0,76.0,YALIKAVAK,0212 361 4141,0.7727,True,False,1.0,0.6636,fuzzy,"Orta düzey isim benzerliği, güçlü destek sinyali yok"
BOD055,Lavinya Otel Göltürkbükü,Göltürkbükü,+902523577179,"Gölköy Mahallesi 34. Sokak No: 20 bina No:1, D:2, 48483 Bodrum/Muğla, Türkiye",OFFBOD049,VOYAGE GÖLTÜRKBÜKÜ,5 YILDIZLI OTEL,5.0,500.0,1098.0,GÖLKÖY MAHALLESİ,0252 311 0150,0.7619,True,False,1.0,0.6571,fuzzy,"Orta düzey isim benzerliği, güçlü destek sinyali yok"
BOD002,Armonia Holiday Village & Spa,Akyarlar,+902529991303,"Turgutreis, Kemer Mevkii, 48400 Bodrum/Muğla, Türkiye",OFFBOD002,ARMONIA HOLIDAY VILLAGE & SPA,5 YILDIZLI T.K.,5.0,381.0,762.0,TURGUTREİS,0252 393 6315,1.0,False,False,1.0,0.65,name_exact,İsim (ve muhtemelen adres) neredeyse birebir ama bölge çelişiyor
BOD093,Malta Bodrum Hotel,Gündoğan,+905548706970,"Gündoğan, Şht. Uğur Öztop Cd. 506 Sokak No:15 B, 48400 Bodrum/Muğla, Türkiye",OFFBOD159,MARİSOL HOTEL,BUTİK OTEL,3.0,20.0,40.0,GÜNDOĞAN MAH.,0252 387 9192,0.75,True,False,1.0,0.65,fuzzy,"Orta düzey isim benzerliği, güçlü destek sinyali yok"
BOD167,Elista Hotel & Spa,Türkbükü,+905426509990,"Türkbükü, Liman Cd. No:65 D:1, 48483 Bodrum/Muğla, Türkiye",OFFBOD094,ELİSTA OTEL,3 YILDIZLI OTEL,3.0,28.0,58.0,GÖLTÜRKBÜKÜ,0252 316 9209,0.8148,True,False,0.0,0.6389,fuzzy,Yüksek isim benzerliği ve bölge doğrulanıyor ama telefon teyidi yok
BOD059,Bodrum Hotel Baba,Gümbet,+902529700366,"Gümbet, Ayaz Cd. No:8, 48400 Bodrum/Muğla, Türkiye",OFFBOD119,HOTEL PALOMA,2 YILDIZLI OTEL,2.0,58.0,116.0,GÜMBET MAHALLESİ,0252 319 3138,0.7273,True,False,1.0,0.6364,fuzzy,"Orta düzey isim benzerliği, güçlü destek sinyali yok"
BOD099,Villa Oliva Butik Otel,Gündoğan,+905531986073,"Farilya, Atatürk Cd. no:97/A, 48400 Bodrum/Muğla, Türkiye",OFFBOD161,OLİRA BUTİK OTEL,BUTİK OTEL,3.0,32.0,64.0,GÜNDOĞAN MAH.,0252 387 8714,0.7895,True,False,0.0,0.6237,fuzzy,"Orta düzey isim benzerliği, güçlü destek sinyali yok"
BOD190,The Sign Highlight Hotel,Yalıkavak,+902526111010,"Merkez Mah, Tilkicik Cd. No:182 Sk No:3, 48990 Bodrum/Muğla, Türkiye",OFFBOD154,HİGHLİGHT HOTEL,BUTİK OTEL,,31.0,80.0,YALIKAVAK MAH.,0252 385 5959,0.7692,True,False,0.0,0.6115,fuzzy,"Orta düzey isim benzerliği, güçlü destek sinyali yok"
BOD051,Faros Bodrum Hotel Göltürkbükü,Göltürkbükü,+902523578118,"Yalı Mevkii, Gölköy, 36. Sk. No:1 D:1, 48400 Bodrum/Muğla, Türkiye",OFFBOD049,VOYAGE GÖLTÜRKBÜKÜ,5 YILDIZLI OTEL,5.0,500.0,1098.0,GÖLKÖY MAHALLESİ,0252 311 0150,0.6829,True,False,1.0,0.6097,fuzzy,"Orta düzey isim benzerliği, güçlü destek sinyali yok"
BOD034,Çınar Butik Otel Bodrum,Bitez,+902522750470,"Bitez, Bergamut Cd. No:18, 48470 Bodrum/Muğla, Türkiye",OFFBOD024,DORIA HOTEL BODRUM,5 YILDIZLI OTEL,5.0,92.0,184.0,BİTEZ MAHALLESİ,0252 311 1020,0.6829,True,False,1.0,0.6097,fuzzy,"Orta düzey isim benzerliği, güçlü destek sinyali yok"
BOD028,Mira Beach Resort Bodrum,Bitez,+902522110454,"Bitez, Çökertme Cd. No:120, 48470 Bodrum/Muğla, Türkiye",OFFBOD036,RAMADA RESORT BODRUM OTELİ,5 YILDIZLI OTEL,5.0,129.0,268.0,BİTEZ MAHALLESİ,0252 319 4545,0.68,True,False,1.0,0.608,fuzzy,"Orta düzey isim benzerliği, güçlü destek sinyali yok"
BOD125,Kefi Beach Bodrum,Ortakent-Yahşi,+902523483145,"Yahşi, Yalı Cd. No:38, 48200 Bodrum/Muğla, Türkiye",OFFBOD105,SEASIDE BEACH CLUB BODRUM,3 YILDIZLI OTEL,3.0,70.0,140.0,ORTAKENT YAHŞİ,0252 391 8055,0.7143,True,False,0.5,0.6036,fuzzy,"Orta düzey isim benzerliği, güçlü destek sinyali yok"
BOD178,Highlight Hotel Yalıkavak,Yalıkavak,,"Merkez Mah Tilkicik Cad, Dirmil, 182. Sokak No:3, 48990 Bodrum/Muğla, Türkiye",OFFBOD154,HİGHLİGHT HOTEL,BUTİK OTEL,,31.0,80.0,YALIKAVAK MAH.,0252 385 5959,0.75,True,False,0.0,0.6,fuzzy,"Orta düzey isim benzerliği, güçlü destek sinyali yok"
BOD006,Club Marma Hotel,Akyarlar,+902526060333,"Akyarlar, 4275 Sok, 48960 Bodrum/Muğla, Türkiye",OFFBOD099,MIO MARE HOTEL,3 YILDIZLI OTEL,3.0,50.0,100.0,AKYARLAR MAH.,0252 393 8540,0.6667,True,False,1.0,0.6,fuzzy,"Orta düzey isim benzerliği, güçlü destek sinyali yok"
BOD112,Azure By Yelken Hotel,Kadıkalesi,+902524131430,"Peksimet Mah, Kadıkalesi Mevkii, Bozdağ 12. Sokak No: 9/1, 48100, 48400 Bodrum/Muğla, Türkiye",OFFBOD018,AZURE BY YELKEN HOTEL,5 YILDIZLI OTEL,5.0,302.0,604.0,TURGUTREİS MAH.,0252 382 9797,1.0,False,False,0.0,0.6,name_exact,İsim (ve muhtemelen adres) neredeyse birebir ama bölge çelişiyor
BOD020,Bitez Risa Hotel,Bitez,+902522412428,"Bitez, 1310. Sk. No:4, 48470 Bodrum/Muğla, Türkiye",OFFBOD024,DORIA HOTEL BODRUM,5 YILDIZLI OTEL,5.0,92.0,184.0,BİTEZ MAHALLESİ,0252 311 1020,0.6667,True,False,1.0,0.6,fuzzy,"Orta düzey isim benzerliği, güçlü destek sinyali yok"
BOD046,Senses Hotel,Bodrum Merkez,+902523132373,"Kumbahçe, Atatürk Cd. No:179, 48400 Bodrum/Muğla, Türkiye",OFFBOD116,EDEN OTEL,2 YILDIZLI OTEL,2.0,32.0,64.0,KUMBAHÇE MAH.,0252 316 2095,0.6667,True,False,1.0,0.6,fuzzy,"Orta düzey isim benzerliği, güçlü destek sinyali yok"
BOD153,The Oba Hotel,Torba,+902529700622,"Torba, Heredot Bulvarı No : 20, 48400 Bodrum/Muğla, Türkiye",OFFBOD110,TORBAHAN OTELİ,3 YILDIZLI OTEL,3.0,50.0,100.0,TORBA MAHALLESİ,0252 367 1073,0.6667,True,False,1.0,0.6,fuzzy,"Orta düzey isim benzerliği, güçlü destek sinyali yok"
BOD037,Bodrum Bay Resort,Bodrum Merkez,,"Eskiçeşme, Haremtan Sk. No:1, 48400 Bodrum/Muğla, Türkiye",OFFBOD003,BODRUM PARK RESORT,5 YILDIZLI T.K.,5.0,288.0,746.0,YALI MAHALLESİ,0252 368 9020,0.8571,True,False,0.0,0.5893,fuzzy,Yüksek isim benzerliği ve bölge doğrulanıyor ama telefon teyidi yok
BOD010,Mare Garden Hotel,Akyarlar,+902523938110,"Akyarlar, Atatürk Cd. No:339, 48960 Bodrum/Muğla, Türkiye",OFFBOD099,MIO MARE HOTEL,3 YILDIZLI OTEL,3.0,50.0,100.0,AKYARLAR MAH.,0252 393 8540,0.6452,True,False,1.0,0.5871,fuzzy,"Orta düzey isim benzerliği, güçlü destek sinyali yok"
BOD138,Bodrum Blue Bay Otel,Torba,+905308346979,"Torba, Irmak Sk. No:6, 48400 Bodrum/Muğla, Türkiye",OFFBOD087,BODRUM BLUE BAY HOTEL,3 YILDIZLI OTEL,3.0,41.0,86.0,BİTEZ MAHALLESİ,0252 363 7856,0.9756,False,False,0.0,0.5854,fuzzy,İsim (ve muhtemelen adres) neredeyse birebir ama bölge çelişiyor
BOD029,Mumu Bodrum Hotel,Bitez,+905413159714,"Bitez, 1303. Sk. No:6, 48470 Bodrum/Muğla, Türkiye",OFFBOD124,MANUELA OTEL,2 YILDIZLI OTEL,2.0,34.0,69.0,BİTEZ MAHALLESİ,0252 363 7904,0.6364,True,False,1.0,0.5818,fuzzy,"Orta düzey isim benzerliği, güçlü destek sinyali yok"
BOD024,HAKAN OTEL,Bitez,+905453496522,"Bitez, Mersinli Cd. No:18, 48470 Bodrum/Muğla, Türkiye",OFFBOD124,MANUELA OTEL,2 YILDIZLI OTEL,2.0,34.0,69.0,BİTEZ MAHALLESİ,0252 363 7904,0.6364,True,False,1.0,0.5818,fuzzy,"Orta düzey isim benzerliği, güçlü destek sinyali yok"
BOD004,Bendis Beach Hotel,Akyarlar,+902523210924,"Akyarlar, Kemer Mevkii No: 24, 48960 Bodrum/Muğla, Türkiye",OFFBOD078,SENTİDO BELLAZURE HOTEL,4 YILDIZLI OTEL,4.0,178.0,356.0,AKYARLAR MAH.,0252 393 6090,0.6341,True,False,1.0,0.5805,fuzzy,"Orta düzey isim benzerliği, güçlü destek sinyali yok"
BOD128,Lugga Boutique Hotel & Beach,Ortakent-Yahşi,+905327831260,"Yahşi, Eren Sk. No:12, 48420 Bodrum/Muğla, Türkiye",OFFBOD158,LUGGA BUTİK OTEL,BUTİK OTEL,4.0,52.0,104.0,ORTAKENT MAH.,0252 348 3200,0.7143,True,False,0.0,0.5786,fuzzy,"Orta düzey isim benzerliği, güçlü destek sinyali yok"
BOD097,OLİVE TREE HOTEL,Gündoğan,+905442316177,"Gündoğan, Farilya Cd. No:1, 48400 Bodrum/Muğla, Türkiye",OFFBOD161,OLİRA BUTİK OTEL,BUTİK OTEL,3.0,32.0,64.0,GÜNDOĞAN MAH.,0252 387 8714,0.625,True,False,1.0,0.575,fuzzy,"Orta düzey isim benzerliği, güçlü destek sinyali yok"
BOD147,Omar Hotel & Suites,Torba,+902523671257,"Torba, 48400 Bodrum/Muğla, Türkiye",OFFBOD040,SAMARA OTELİ,5 YILDIZLI OTEL,5.0,339.0,696.0,TORBA MAHALLESİ,0252 337 1244,0.6207,True,False,1.0,0.5724,fuzzy,"Orta düzey isim benzerliği, güçlü destek sinyali yok"
BOD038,Casa Mare Bodrum,Bodrum Merkez,+902523130062,"Eskiçeşme, suat kaya sokak no10, 48400 Bodrum/Muğla, Türkiye",OFFBOD047,VOYAGE BODRUM,5 YILDIZLI OTEL,5.0,150.0,300.0,ESKİÇEŞME MAH.,0252 316 4443,0.6207,True,False,1.0,0.5724,fuzzy,"Orta düzey isim benzerliği, güçlü destek sinyali yok"
BOD137,Armagan Apart Hotel,Torba,+905334748770,"Torba, Rıza Anter Cd. No:84, 48400 Bodrum/Muğla, Türkiye",OFFBOD149,CASA DELL'ARTE HOTEL,BUTİK OTEL,5.0,12.0,36.0,TORBA MAHALLESİ,0252 367 1848,0.6154,True,False,1.0,0.5692,fuzzy,"Orta düzey isim benzerliği, güçlü destek sinyali yok"
BOD035,Azka Otel - Bardakçı Koyu,Bodrum Merkez,+902525300010,"Bardakçı Koyu, Eskiçeşme, Kaptan Kalesi Sk., 48400 Bodrum/Muğla, Türkiye",OFFBOD017,AZKA OTELİ,5 YILDIZLI OTEL,5.0,177.0,354.0,BARDAKÇI KOYU,0252 316 8992,0.6061,True,False,1.0,0.5637,fuzzy,"Orta düzey isim benzerliği, güçlü destek sinyali yok"
BOD027,Meis Apart Hotel,Bitez,+902523630005,"Bitez, Bergamut Cd. No:52, 48400 Bodrum/Muğla, Türkiye",OFFBOD087,BODRUM BLUE BAY HOTEL,3 YILDIZLI OTEL,3.0,41.0,86.0,BİTEZ MAHALLESİ,0252 363 7856,0.6,True,False,1.0,0.56,fuzzy,"Orta düzey isim benzerliği, güçlü destek sinyali yok"
BOD131,Regia Mare Beach Hotel Bodrum,Ortakent-Yahşi,+902523483833,"Kabakum Cad, Sazlık Sk. No: 13, 48400 Bodrum/Muğla, Türkiye",OFFBOD095,HEREDOT BEACH HOTEL,3 YILDIZLI OTEL,3.0,17.0,36.0,ORTAKENT MAH.,0252 319 5550,0.6829,True,False,0.0,0.5597,fuzzy,"Orta düzey isim benzerliği, güçlü destek sinyali yok"
BOD065,Mirada Exclusive Bodrum,Gümbet,+902524127630,"Asarlık Mevkii, Turkuaz Sk. No:8/10, 48400 Bodrum/Muğla, Türkiye",OFFBOD026,MİRADA HOTELS&RESORTS EXCLUSIVE,5 YILDIZLI OTEL,5.0,374.0,748.0,GÜMBET MAHALLESİ,0252 319 6666,0.6809,True,False,0.0,0.5585,fuzzy,"Orta düzey isim benzerliği, güçlü destek sinyali yok"
BOD018,Bitez Deniz Hotel - Restaurant - Beach,Bitez,+902523630190,"Bitez, 1308. Sk., 48400 Bodrum/Turkey Bodrum Area, Türkiye",OFFBOD086,BİTEZ GARDEN LİFE HOTEL & SUİTES,3 YILDIZLI OTEL,3.0,177.0,354.0,BİTEZ MAHALLESİ,0252 311 3333,0.5938,True,False,1.0,0.5563,fuzzy,"Orta düzey isim benzerliği, güçlü destek sinyali yok"
BOD154,Toka Bodrum Hotel & Beach Club,Torba,+902524800880,"Torba, İsmet İnönü Cd. No:64, 48400 Bodrum/Muğla, Türkiye",OFFBOD010,DUJA BODRUM OTEL,5 YILDIZLI T.K.,5.0,420.0,840.0,TORBA MAHALLESİ,0252 337 1400,0.5909,True,False,1.0,0.5545,fuzzy,"Orta düzey isim benzerliği, güçlü destek sinyali yok"
