aspect,keyword,keyword_type,source,document_count,included,notes
FOOD_BEVERAGE,çeşitlilik,unigram,manual_master_prompt_17.3,11,True,
FOOD_BEVERAGE,soğuk,unigram,manual_master_prompt_17.3,10,True,
FOOD_BEVERAGE,taze,unigram,manual_master_prompt_17.3,5,True,
FOOD_BEVERAGE,içecek,unigram,manual_master_prompt_17.3,36,True,
FOOD_BEVERAGE,bar,unigram,manual_master_prompt_17.3,81,True,
FOOD_BEVERAGE,menü,unigram,manual_master_prompt_17.3,13,True,
FOOD_BEVERAGE,mutfak,unigram,manual_master_prompt_17.3,11,True,
FOOD_BEVERAGE,a la carte,phrase,manual_master_prompt_17.3,5,True,
ROOM,oda,unigram,manual_master_prompt_17.3,128,True,
ROOM,yatak,unigram,manual_master_prompt_17.3,18,True,
ROOM,banyo,unigram,manual_master_prompt_17.3,12,True,
ROOM,duş,unigram,manual_master_prompt_17.3,11,True,
ROOM,manzara,unigram,manual_master_prompt_17.3,21,True,
ROOM,geniş,unigram,manual_master_prompt_17.3,13,True,
ROOM,küçük oda,phrase,manual_master_prompt_17.3,0,True,
ROOM,eski,unigram,manual_master_prompt_17.3,23,True,
ROOM,konforlu,unigram,manual_master_prompt_17.3,13,True,
ROOM,balkon,unigram,manual_master_prompt_17.3,6,True,
ROOM,klima,unigram,manual_master_prompt_17.3,4,True,
ROOM,yatak odası,phrase,manual_master_prompt_17.3,0,True,
BEACH_SEA,plaj,unigram,manual_master_prompt_17.3,29,True,
BEACH_SEA,deniz,unigram,manual_master_prompt_17.3,100,True,
BEACH_SEA,sahil,unigram,manual_master_prompt_17.3,16,True,
BEACH_SEA,iskele,unigram,manual_master_prompt_17.3,11,True,
BEACH_SEA,şezlong,unigram,manual_master_prompt_17.3,22,True,
BEACH_SEA,koy,unigram,manual_master_prompt_17.3,36,True,
BEACH_SEA,deniz suyu,phrase,manual_master_prompt_17.3,1,True,
BEACH_SEA,deniz manzarası,phrase,manual_master_prompt_17.3,0,True,
POOL,havuz,unigram,manual_master_prompt_17.3,64,True,
POOL,havuz kenarı,phrase,manual_master_prompt_17.3,3,True,
POOL,çocuk havuzu,phrase,manual_master_prompt_17.3,5,True,
POOL,kaydırak,unigram,manual_master_prompt_17.3,7,True,
FACILITIES_MAINTENANCE,bakım,unigram,manual_master_prompt_17.3,16,True,
FACILITIES_MAINTENANCE,bakımsız,unigram,manual_master_prompt_17.3,2,True,
FACILITIES_MAINTENANCE,yıpranmış,unigram,manual_master_prompt_17.3,0,True,
FACILITIES_MAINTENANCE,eskimiş,unigram,manual_master_prompt_17.3,1,True,
FACILITIES_MAINTENANCE,arızalı,unigram,manual_master_prompt_17.3,0,True,
FACILITIES_MAINTENANCE,bozuk,unigram,manual_master_prompt_17.3,4,True,
FACILITIES_MAINTENANCE,asansör,unigram,manual_master_prompt_17.3,5,True,
FACILITIES_MAINTENANCE,tesis,unigram,manual_master_prompt_17.3,22,True,
FACILITIES_MAINTENANCE,altyapı,unigram,manual_master_prompt_17.3,0,True,
FACILITIES_MAINTENANCE,yenilenmiş,unigram,manual_master_prompt_17.3,2,True,
RESERVATION,rezervasyon,unigram,manual_master_prompt_17.3,14,True,
RESERVATION,booking,unigram,manual_master_prompt_17.3,0,True,
RESERVATION,tarih değişikliği,phrase,manual_master_prompt_17.3,0,True,
RESERVATION,iptal,unigram,manual_master_prompt_17.3,4,True,
PAYMENT_REFUND,ödeme,unigram,manual_master_prompt_17.3,1,True,
PAYMENT_REFUND,iade,unigram,manual_master_prompt_17.3,1,True,
PAYMENT_REFUND,fatura,unigram,manual_master_prompt_17.3,0,True,
PAYMENT_REFUND,ekstra ücret,phrase,manual_master_prompt_17.3,0,True,
PAYMENT_REFUND,fiyat farkı,phrase,manual_master_prompt_17.3,0,True,
PAYMENT_REFUND,kredi kartı,phrase,manual_master_prompt_17.3,1,True,
PRICE_VALUE,fiyat,unigram,manual_master_prompt_17.3,24,True,
PRICE_VALUE,fiyatına göre,phrase,manual_master_prompt_17.3,3,True,
PRICE_VALUE,değer,unigram,manual_master_prompt_17.3,15,True,
PRICE_VALUE,pahalı,unigram,manual_master_prompt_17.3,1,True,
PRICE_VALUE,ucuz,unigram,manual_master_prompt_17.3,2,True,
PRICE_VALUE,uygun fiyat,phrase,manual_master_prompt_17.3,1,True,
PRICE_VALUE,hesaplı,unigram,manual_master_prompt_17.3,0,True,
PRICE_VALUE,fiyat performans,phrase,manual_master_prompt_17.3,9,True,
PRICE_VALUE,bütçe,unigram,manual_master_prompt_17.3,1,True,
CHECKIN_CHECKOUT,check-in,unigram,manual_master_prompt_17.3,0,True,
CHECKIN_CHECKOUT,check in,phrase,manual_master_prompt_17.3,0,True,
CHECKIN_CHECKOUT,checkin,unigram,manual_master_prompt_17.3,0,True,
CHECKIN_CHECKOUT,check-out,unigram,manual_master_prompt_17.3,0,True,
CHECKIN_CHECKOUT,check out,phrase,manual_master_prompt_17.3,1,True,
CHECKIN_CHECKOUT,checkout,unigram,manual_master_prompt_17.3,0,True,
CHECKIN_CHECKOUT,giriş,unigram,manual_master_prompt_17.3,29,True,
CHECKIN_CHECKOUT,çıkış,unigram,manual_master_prompt_17.3,6,True,
AIR_CONDITIONING,klima,unigram,manual_master_prompt_17.3,4,True,
AIR_CONDITIONING,soğutma,unigram,manual_master_prompt_17.3,0,True,
AIR_CONDITIONING,havalandırma,unigram,manual_master_prompt_17.3,4,True,
NOISE,gürültü,unigram,manual_master_prompt_17.3,3,True,
NOISE,ses,unigram,manual_master_prompt_17.3,18,True,
NOISE,sessiz,unigram,manual_master_prompt_17.3,10,True,
NOISE,sakin,unigram,manual_master_prompt_17.3,16,True,
NOISE,ses geçirgenliği,phrase,manual_master_prompt_17.3,0,True,
NOISE,gürültülü,unigram,manual_master_prompt_17.3,0,True,
FAMILY_CHILDREN,çocuk,unigram,manual_master_prompt_17.3,54,True,
FAMILY_CHILDREN,aile,unigram,manual_master_prompt_17.3,43,True,
FAMILY_CHILDREN,bebek,unigram,manual_master_prompt_17.3,4,True,
FAMILY_CHILDREN,mini club,phrase,manual_master_prompt_17.3,2,True,
FAMILY_CHILDREN,çocuk kulübü,phrase,manual_master_prompt_17.3,3,True,
FAMILY_CHILDREN,çocuklu,unigram,manual_master_prompt_17.3,17,True,
TRANSPORT_TRANSFER,transfer,unigram,manual_master_prompt_17.3,1,True,
TRANSPORT_TRANSFER,shuttle,unigram,manual_master_prompt_17.3,1,True,
TRANSPORT_TRANSFER,otopark,unigram,manual_master_prompt_17.3,4,True,
TRANSPORT_TRANSFER,ulaşım,unigram,manual_master_prompt_17.3,4,True,
TRANSPORT_TRANSFER,servis aracı,phrase,manual_master_prompt_17.3,0,True,
MANAGEMENT_COMMUNICATION,yönetim,unigram,manual_master_prompt_17.3,6,True,
MANAGEMENT_COMMUNICATION,müdür,unigram,manual_master_prompt_17.3,14,True,
MANAGEMENT_COMMUNICATION,iletişim,unigram,manual_master_prompt_17.3,8,True,
MANAGEMENT_COMMUNICATION,şikayet,unigram,manual_master_prompt_17.3,3,True,
MANAGEMENT_COMMUNICATION,ilgilenmedi,unigram,manual_master_prompt_17.3,0,True,
MANAGEMENT_COMMUNICATION,geri dönüş,phrase,manual_master_prompt_17.3,0,True,
SPA_WELLNESS,spa,unigram,manual_master_prompt_17.3,6,True,
SPA_WELLNESS,masaj,unigram,manual_master_prompt_17.3,2,True,
SPA_WELLNESS,sauna,unigram,manual_master_prompt_17.3,0,True,
SPA_WELLNESS,hamam,unigram,manual_master_prompt_17.3,0,True,
SPA_WELLNESS,wellness,unigram,manual_master_prompt_17.3,0,True,
SAFETY_SECURITY,güvenlik,unigram,manual_master_prompt_17.3,3,True,
SAFETY_SECURITY,güvenli,unigram,manual_master_prompt_17.3,5,True,
SAFETY_SECURITY,tehlikeli,unigram,manual_master_prompt_17.3,0,True,
SAFETY_SECURITY,kaza,unigram,manual_master_prompt_17.3,3,True,
SAFETY_SECURITY,can güvenliği,phrase,manual_master_prompt_17.3,0,True,
